zpid,price,street,city,state,zipcode,beds,baths,area,latitude,longitude,home_type,tax_assessed_value,lot_area_value,days_on_zillow
27857438,599000,969 Wakefield Dr,Houston,TX,77018,1.0,1.0,1920.0,29.82125,-95.42355,MULTI_FAMILY,377200.0,7500.0,137
28180173,195000,12415 W Hardy Rd,Houston,TX,77037,3.0,2.0,1350.0,29.880238,-95.36841,SINGLE_FAMILY,73398.0,4238.388,148
97623218,315000,2106 Bringhurst St,Houston,TX,77026,3.0,3.0,1600.0,29.781075,-95.33398,SINGLE_FAMILY,67500.0,2263.0,35
27833220,229000,6510 Sidney St,Houston,TX,77021,3.0,2.0,1064.0,29.694134,-95.35529,SINGLE_FAMILY,160444.0,5000.688,112
28240575,375000,5102 Birchmont Dr,Houston,TX,77091,3.0,3.0,2073.0,29.84401,-95.46744,SINGLE_FAMILY,286577.0,4016.232,21
28438324,150000,2211 S Kirkwood Rd APT 25,Houston,TX,77077,1.0,2.0,939.0,29.742355,-95.5877,TOWNHOUSE,150816.0,3.8262,4
27873651,549900,927 Gardenia Dr,Houston,TX,77018,3.0,2.0,1548.0,29.826065,-95.42155,SINGLE_FAMILY,579238.0,6660.324,27
80521663,199900,2839 Cypress Island Dr,Houston,TX,77073,3.0,2.0,1255.0,30.035172,-95.384705,SINGLE_FAMILY,211856.0,6046.128,12
28098396,200000,2510 Jamestown Mall #58,Houston,TX,77057,2.0,2.0,1140.0,29.739656,-95.49117,TOWNHOUSE,207990.0,4.905,5
28205149,399000,12203 Briar Forest Dr,Houston,TX,77077,4.0,3.0,2790.0,29.752062,-95.59445,SINGLE_FAMILY,357386.0,8794.764,55
80541133,945000,410 E Cortlandt St,Houston,TX,77007,3.0,3.0,2760.0,29.778137,-95.39483,SINGLE_FAMILY,1020116.0,4090.284,28
62584626,470000,4532 Lillian St,Houston,TX,77007,3.0,3.0,2123.0,29.769867,-95.40682,SINGLE_FAMILY,450000.0,1833.876,39
89636562,275900,3925 Lowden St APT A,Houston,TX,77051,3.0,3.0,1764.0,29.669897,-95.366745,TOWNHOUSE,202109.0,2500.0,92
161157198,1150000,702 Marcella St,Houston,TX,77091,4.0,4.0,6675.0,29.845665,-95.4113,SINGLE_FAMILY,451075.0,8232.84,319
161364294,529990,41 Armand Shore Dr,Houston,TX,77058,3.0,3.0,2287.0,29.562088,-95.075005,TOWNHOUSE,152768.0,1984.0,204
28128184,224900,11211 Carvel Ln,Houston,TX,77072,4.0,2.0,1723.0,29.696486,-95.575966,SINGLE_FAMILY,208566.0,7487.964,35
28491012,185000,9800 Pagewood Ln APT 2706,Houston,TX,77042,2.0,3.0,1520.0,29.72617,-95.54143,CONDO,171664.0,4.997,87
58672740,330000,13710 Hillingdale Ln,Houston,TX,77070,3.0,3.0,2227.0,29.978205,-95.55264,SINGLE_FAMILY,270439.0,5989.5,31
97602218,387000,2829 Orion St,Houston,TX,77088,4.0,3.0,1913.0,29.879263,-95.451935,SINGLE_FAMILY,277839.0,8110.872,5
27760070,1291000,1612 Heights Blvd,Houston,TX,77008,5.0,5.0,4619.0,29.800417,-95.39721,MULTI_FAMILY,1187740.0,0.25826446280991733,19
28155558,295000,859 Seacliff Dr,Houston,TX,77062,3.0,2.0,1796.0,29.557983,-95.12776,SINGLE_FAMILY,268504.0,7200.468,6
28005185,234900,9922 Caffrey St,Houston,TX,77075,4.0,2.0,1330.0,29.612873,-95.23993,SINGLE_FAMILY,171576.0,6821.496,7
58671839,475000,5631 Avalon Way,Houston,TX,77057,3.0,4.0,3016.0,29.734522,-95.47768,SINGLE_FAMILY,454000.0,2269.476,29
28005537,155000,10118 Cathedral Dr,Houston,TX,77051,3.0,1.0,1053.0,29.648369,-95.37549,SINGLE_FAMILY,121459.0,5998.212,37
27811293,225000,3322 Rosalie St,Houston,TX,77004,3.0,2.0,1416.0,29.730635,-95.354454,SINGLE_FAMILY,173980.0,5000.688,392
